video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QDEddbEzczw,/channel/UCeArP6MvwBxwL8sUWrCa87g,Franc Analysis,"Leaked Files Revealed WHAT About BreadTube? ""Lock Down Left"" & More! w/ Max Blumenthal",1.8K,1.8K views,,2022-01-19 04:27:48.986378
/watch?v=bUhcHJd0NzE,/user/Styxhexenhammer666,Styxhexenhammer666,"Styxhexenhammer Show ep. 39: SOTU Delay, SCOTUS Arguments, etc",34K,34K views,,2022-01-19 04:27:48.989367
/watch?v=xGJJaaW7EKE,/channel/UCsN2mtJc7TrkXf-YWTx5uLA,المبدعون السوريون - Creative Syrians,ماذا لو تم إعادة إنتاج تنظيم الدولة؟,90,90 views,,2022-01-19 04:27:48.991985
/watch?v=0RPkvWPgjTY,/channel/UCl7ftb-K0wfyDJa4KK6CU4Q,Shorts Facts,इस लड़की से सारे आतंकवादी डरते हैं #shorts #youtubeshorts,No,No views,,2022-01-19 04:27:48.994736
/watch?v=1bcyZ9iGnj0,/c/EagleNews,Eagle News,"WATCH: Eagle News International - January 14, 2022",883,883 views,,2022-01-19 04:28:02.846917
/watch?v=VWuO_D6HiMA,/c/TRTWorldNow,TRT World Now,Erdogan: All parties should refrain from steps endangering Bosnia’s territorial integrity,869,869 views,,2022-01-19 04:28:02.849683
/watch?v=Lth-fcyO6zQ,/user/Euronews,euronews,Top news stories today | January 13th – Evening,888,888 views,,2022-01-19 04:28:02.853435
/watch?v=LmZ_1TmC-8s,/user/mayadeentvchannel,Al Mayadeen Programs - برامج الميادين,كلمة حرة | مستقبل العالم | 2022-01-10,1.3K,1.3K views,,2022-01-19 04:28:02.855951
/watch?v=7dNuAvp_Dzo,/channel/UCmrW5p6LpC13I-fRbIobXrQ,Pommy Pie,Syria report Jan 17,1.6K,1.6K views,,2022-01-19 04:28:02.858431
/watch?v=euP0g3zcHSA,/channel/UCmVAWA_SBtxHczFv41QJTuQ,teleSUR English,FTS 8:30 04-09: Salvadorans commemorate 30th anniversary of end of civil war,No,No views,,2022-01-19 04:28:02.861235
